name,SMILES,Lmax
0,C[N]1N=NC(=N1)N=NC2=CC=CC=C2,310.0
1,C[N]1C=NC(=N1)N=NC2=CC=CC=C2,310.0
2,C[N]1C=CC(=N1)N=NC2=CC=CC=C2,320.0
3,C[N]1C=C(C)C(=N1)N=NC2=CC=CC=C2,325.0
4,C[N]1C=C(C=N1)N=NC2=CC=CC=C2,328.0
5,C[N]1N=C(C)C(=C1C)N=NC2=CC=CC=C2,335.0
6,C[N]1N=CC=C1N=NC2=CC=CC=C2,341.0
7,C[N]1N=CC(=C1N=NC2=CC=CC=C2)C,340.0
8,CC(N(C)C(C)=C1)=C1/N=N/C2=CC=CC=C2,363.0
9,CC(N(C)C(C)=C1C)=C1/N=N/C2=CC=CC=C2,345.0
10,CN1C(/N=N/C2=CC=CC=C2)=C(C)C=C1C,394.0
11,CN1C(/N=N/C2=CC=CC=C2)=CC=C1,385.0
12,CN1C(/N=N/C2=CC=CC=C2)=NC=C1,363.0
13,CN(C=N1)C=C1/N=N/C2=CC=CC=C2,336.0
14,CN1C(/N=N/C2=CC=CC=C2)=CN=C1,362.0
15,NC(C=C1)=CC=C1N=NC2=NNC=C2,391.0
16,COC(C=C1)=CC=C1N=NC2=NNC=C2,344.0
17,CC(C=C1)=CC=C1N=NC2=NNC=C2,332.0
18,C1(/N=N/C2=CC=NN2)=CC=NN1,320.0
19,[H]C(C=C1)=CC=C1N=NC2=NNC=C2,324.0
20,BrC(C=C1)=CC=C1N=NC2=NNC=C2,331.0
21,FC1=CC=CC=C1N=NC2=NNC=C2,328.0
22,O=C(O)C(C=C1)=CC=C1N=NC2=NNC=C2,328.0
23,O=C(C1=CC=C(/N=N/C2=NNC=C2)C=C1)OCC,331.0
24,CC(C(C=C1)=CC=C1N=NC2=NNC=C2)=O,322.0
25,[O-][N+](C(C=C1)=CC=C1N=NC2=NNC=C2)=O,340.0
26,CN(N=C1)C=C1/N=N/C2=C(F)C=CC=C2F,316.0
27,CN(N=C1C)C(C)=C1/N=N/C2=C(F)C=CC=C2F,328.0
28,CN(N=C1C)C(C)=C1/N=N/C2=C(Cl)C=CC=C2Cl,328.0
29,CN(N=C1C)C(C)=C1/N=N/C2=C(OC)C=CC=C2OC,307.0
30,FC1=CC=CC=C1/N=N/C2=C(F)C=CC=C2,325.0
31,FC1=CC=CC(F)=C1/N=N/C2=CC=CC=C2,309.0
32,FC1=CC=CC(F)=C1/N=N/C2=C(F)C=CC=C2F,305.0
33,FC1=CC(F)=CC(F)=C1/N=N/C(C(F)=C2)=C(F)C=C2F,309.0
34,FC1=C(F)C=C(F)C(F)=C1/N=N/C2=C(F)C(F)=CC(F)=C2F,303.0
35,FC1=C(F)C(F)=C(F)C(F)=C1/N=N/C2=C(F)C(F)=C(F)C(F)=C2F,310.0
36,FC1=CC=CC(F)=C1/N=N/C2=CC=C(C(OCC)=O)C=C2,316.0
37,FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=C(F)C=C(C(OCC)=O)C=C2F,314.0
38,FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=C(F)C=CC=C2F,310.0
